gameMode	2
gameLength	60000
rampInterval	750
minWaitTime	500
maxWaitTime	4000
cushionTime	100
reward	1
0	6600.00	6557
1	6600.00	0
2	6600.00	0
3	6600.00	0
2	14100.00	14804
0	14100.00	14812
3	16350.00	15719
1	14850.00	0
2	21600.00	21585
3	23850.00	23812
0	24600.00	24630
1	25350.00	0
2	26850.00	28286
3	30600.00	29959
0	32100.00	31444
1	36600.00	35024
0	35100.00	0
3	39600.00	38780
2	38850.00	39581
1	41100.00	40507
0	40350.00	0
3	45600.00	45505
0	46350.00	46256
1	49350.00	48558
2	47100.00	0
0	50100.00	0
3	52350.00	51758
2	52350.00	51761
0	55350.00	53841
2	56850.00	56774
0	59850.00	59824
1	58350.00	0
3	61350.00	60585
2	64350.00	64284
3	65100.00	65063
1	68850.00	68730
0	69600.00	0
2	71100.00	71745
0	77100.00	74758
3	74850.00	75497
1	74100.00	0
2	77850.00	76271
1	80850.00	80832
0	82350.00	82341
3	83850.00	83829